t,thermal,batt,cur0,cur6,engine_pcpu,engine_rss_kb,memavail_kb,swapfree_kb
5,1,394,806400,806400,0.0,3.5M,6224732,9577256,
10,1,394,1036800,1651200,100,33M,6125176,9577512,
15,1,390,1036800,1651200,86.6,4.5G,6343408,9344756,
20,1,390,1900800,1651200,66.6,5.3G,6552232,9044804,
25,1,390,1900800,1651200,66.6,5.5G,6712424,8806672,
30,1,390,1900800,1651200,66.6,5.5G,6767244,8704280,
35,1,390,1900800,1651200,71.4,5.8G,6850288,8573080,
40,1,390,1900800,1152000,75.0,5.9G,6916656,8455996,
45,1,390,1900800,1651200,81.4,6.0G,6941488,8396740,
50,1,390,1900800,1651200,222,5.6G,6637136,8418488,
55,1,390,1900800,1651200,203,1.4G,6757340,8305352,
60,1,390,1900800,1017600,218,1.1G,6952860,8096528,
65,1,390,1900800,1651200,259,3.5G,4463644,8373980,
70,1,391,902400,1651200,322,3.4G,4437308,8382620,
75,1,391,1900800,1651200,296,3.8G,4898808,8387616,
80,2,391,1555200,1651200,266,3.7G,4586840,8402744,
85,2,391,1747200,1651200,296,3.7G,4822468,8315456,
90,2,391,1747200,1651200,337,3.6G,4573884,8284816,
95,2,391,1747200,1651200,0.0,3.7M,4583400,8297016,
100,2,391,1747200,806400,0.0,3.6M,4580020,8307264,
105,2,391,1747200,806400,0.0,3.7M,4531272,8311956,
110,2,393,1747200,806400,0.0,3.7M,4536248,8325464,
115,2,393,1747200,1651200,0.0,3.5M,4544584,8328236,
120,2,393,1747200,806400,0.0,3.7M,4549768,8313928,
125,2,393,1747200,1651200,0.0,3.7M,4664560,8232936,
130,2,393,1747200,1651200,0.0,3.6M,4781536,8046420,
135,2,393,1747200,1651200,0.0,3.7M,4791712,8098404,
140,2,393,1747200,1651200,0.0,3.5M,4811224,7564364,
145,2,393,1747200,1651200,0.0,3.7M,4780324,7510680,
150,2,393,1747200,1651200,0.0,3.6M,4795692,7551104,
155,2,393,1747200,1651200,0.0,3.4M,4809864,7470172,
160,2,393,1747200,1651200,0.0,3.5M,4852816,7631060,
165,2,393,1747200,1651200,0.0,3.5M,4849540,7971228,
170,2,395,1747200,1651200,0.0,3.6M,4938484,8134068,
175,2,395,1747200,1651200,0.0,3.8M,4940784,8141716,
180,2,395,1747200,1651200,0.0,3.7M,4946828,8287792,
185,2,395,1747200,1651200,0.0,3.7M,4946540,8350404,
190,2,395,1747200,1651200,0.0,3.6M,4912392,8240552,
195,2,395,1747200,1651200,0.0,3.7M,4929516,8395048,
200,2,395,1747200,1651200,0.0,3.7M,4912872,8429684,
205,2,395,1747200,1651200,0.0,3.7M,4945692,8029896,
210,2,395,1747200,1651200,0.0,3.6M,4973980,8018600,
215,2,400,1747200,1651200,0.0,3.7M,4942712,8320892,
