t,VmRSS_kB,RssAnon_kB,RssFile_kB,VmSwap_kB,memfree_kB
4,3311556,2021708,1289572,462980,68932
8,3316180,2024552,1291352,460440,56072
12,3150780,1864660,1285844,620432,182072
16,2905992,1642644,1263072,842808,98092
20,2829928,1568644,1261008,916760,39792
24,2903412,1619704,1283432,865720,79240
28,2929828,1651548,1278004,823664,107768
32,2963892,1684296,1279320,800600,94956
36,2735508,1539020,1196212,946884,59276
40,2727624,1477208,1250140,1006624,37176
44,2737296,1464500,1272520,1020312,116884
48,2741760,1463240,1278244,1022096,73024
52,2999408,1714492,1284640,771024,148448
56,3072708,1788952,1283480,696860,113456
60,2841768,1564236,1277256,920964,41812
64,3116248,1832932,1283040,652484,100040
68,3305184,2017564,1287344,468052,112460
72,3238868,1948236,1290356,537216,45060
76,3340220,2055220,1284724,430012,457652
80,3231172,1945964,1284932,539516,64228
84,3324628,2034332,1290020,444504,135200
88,3172096,1878528,1293292,596240,52344
92,3349480,2055384,1293820,430196,273352
96,3230228,1939804,1290148,532812,125712
100,3281896,1993320,1288300,489444,35204
104,3207172,1938024,1268872,547884,38064
108,3179060,1890132,1288652,581260,54400
112,3334240,2043876,1290088,441620,80148
116,3194032,1907584,1286172,578324,300392
120,3190832,1904512,1286044,581268,249940
124,3085488,1799808,1285404,685844,296424
128,3059120,1778944,1279900,706708,279872
132,3002800,1723776,1278748,761492,309504
136,2995120,1716480,1278364,768916,304812
140,2995120,1716480,1278364,768916,227708
144,2964912,1687680,1276956,797844,258884
148,2964912,1687680,1276956,797844,272380
152,2964912,1687680,1276956,797844,291704
156,2949936,1673216,1276444,812436,215236
160,2876976,1604736,1271964,880916,297960
164,2876848,1604608,1271964,881044,293640
168,2876848,1604608,1271964,881044,276428
172,2874672,1602432,1271964,883092,267372
176,2868272,1596928,1271068,888596,296860
180,2866352,1595008,1271068,890516,291064
184,2865328,1593984,1271068,891540,262832
188,2861488,1590144,1271068,895508,259600
192,2857392,1586048,1271068,899604,270956
196,2857392,1586048,1271068,899604,261988
200,2856496,1585152,1271068,900500,249704
204,2824240,1553024,1270940,932756,331752
208,2685744,1418240,1267228,1067412,99116
212,2030128,1144704,885148,1341076,124028
