# bmoe_metrics v1
# model=Qwen_Qwen3.6-35B-A3B-Q4_0.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8 threads=4 n_ctx=2048
# moe_stream=1 cache_mb=2000 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=4 o_direct=1 overlap=1 prefetch=0 dense_weights=anon drop_cold_frac=0 gpu=cpu
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,96,229.020,386.935,121.370,301957120,8.55,71.262,36.389,0,741.916,-1.000,0,0.00,2000.0,4218.1,3778.5,439.1,83.3,2444.7,276.7,8000.9
2,96,212.566,352.790,115.507,272662528,15.25,62.913,34.146,0,687.159,-1.000,0,0.00,2000.0,4218.1,3778.4,439.1,83.3,2437.7,265.6,8001.1
3,96,161.600,147.479,119.688,104521728,24.07,28.569,13.342,0,495.072,1.000,0,0.00,2000.0,4219.2,3779.6,439.1,83.2,2428.0,252.0,8001.6
4,96,178.250,181.036,125.835,126033920,30.39,36.988,15.427,0,442.548,1.000,0,0.00,2000.0,4218.9,3779.3,439.1,83.2,2403.0,227.0,8001.6
5,96,189.158,286.592,110.994,227856384,33.52,51.095,27.069,0,624.360,1.000,0,0.00,2000.0,4218.6,3778.9,439.1,83.2,2393.4,217.2,8001.6
6,96,282.362,574.056,116.738,464896000,32.12,105.499,60.125,0,989.897,1.000,0,0.00,2000.0,4218.5,3778.9,439.1,83.2,2387.1,205.3,8001.6
7,96,208.447,287.789,132.425,208322560,34.86,51.016,25.005,0,551.765,1.000,0,0.00,2000.0,4217.5,3779.3,437.7,83.2,2419.7,271.3,8001.4
8,96,170.075,163.497,120.750,118906880,38.40,35.599,13.726,0,397.925,1.000,0,0.00,2000.0,4217.1,3778.8,437.7,83.2,2409.2,260.8,8001.4
9,96,193.921,255.795,121.688,195915776,40.43,48.363,23.870,0,441.410,1.000,0,0.00,2000.0,4216.6,3778.3,437.7,83.2,2411.5,261.2,8001.6
10,96,180.674,214.479,120.923,156258304,42.66,41.347,18.404,0,410.209,1.000,0,0.00,2000.0,4216.6,3778.3,437.7,83.2,2408.6,255.4,8002.1
11,96,162.123,176.002,111.671,125771776,44.94,35.896,14.556,0,462.788,1.000,0,0.00,2000.0,4217.9,3779.6,437.7,83.2,2396.0,232.1,8003.1
12,96,192.846,288.440,115.651,223571968,45.90,48.533,28.662,0,607.006,1.000,0,0.00,2000.0,4217.1,3778.9,437.7,83.2,2394.4,230.5,8003.1
13,96,183.759,237.990,120.296,175529984,47.24,41.676,21.787,0,575.310,1.000,0,0.00,2000.0,4216.6,3778.3,437.7,83.2,2382.9,218.9,8003.1
14,96,194.827,301.558,114.211,216248320,48.05,52.909,27.707,0,603.922,1.000,0,0.00,2000.0,4217.3,3779.1,437.7,83.2,2370.8,204.3,8003.4
15,96,222.851,381.199,117.683,297213952,48.05,66.119,39.049,0,727.258,1.000,0,0.00,2000.0,4215.7,3778.0,437.1,83.2,2431.3,279.5,8003.1
16,96,212.110,354.284,114.341,286523392,48.15,61.676,36.093,0,719.462,1.000,0,0.00,2000.0,4216.3,3778.6,437.1,83.2,2419.7,267.9,8003.1
17,96,228.388,393.408,119.837,304865280,48.09,69.935,38.616,0,719.808,1.000,0,0.00,2000.0,4215.8,3778.2,437.1,83.2,2405.2,252.9,8003.4
18,96,200.288,279.498,126.670,208191488,48.78,50.075,23.543,0,468.315,1.000,0,0.00,2000.0,4216.5,3778.9,437.1,83.2,2391.6,238.2,8004.4
19,96,213.353,360.025,114.592,279920640,48.89,63.552,35.209,0,709.437,1.000,0,0.00,2000.0,4216.7,3779.1,437.1,83.2,2384.3,226.5,8004.9
20,96,178.886,247.258,112.413,183050240,49.67,43.556,22.917,0,556.682,1.000,0,0.00,2000.0,4216.7,3779.1,437.1,83.2,2377.0,217.4,8005.1
21,96,160.721,183.687,109.366,133423104,50.73,34.468,16.888,0,477.828,1.000,0,0.00,2000.0,4216.5,3778.9,437.1,83.2,2373.4,209.6,8005.4
22,96,174.144,232.145,111.637,168337408,51.48,40.261,22.246,0,564.319,1.000,0,0.00,2000.0,4217.0,3779.4,437.1,83.2,2366.1,202.3,8005.4
23,96,202.133,303.928,117.609,235847680,51.75,53.108,31.416,0,663.944,1.000,0,0.00,2000.0,4214.6,3778.5,435.6,83.2,2419.2,267.5,8004.9
24,96,200.235,287.863,124.912,207667200,52.17,50.491,24.832,0,531.242,1.000,0,0.00,2000.0,4213.7,3778.3,434.8,83.2,2411.0,261.6,8005.9
25,96,184.930,253.513,116.648,189259776,52.66,45.344,22.938,0,489.539,1.000,0,0.00,2000.0,4214.4,3779.1,434.8,83.2,2393.8,244.8,8006.1
26,96,281.108,545.207,134.286,458227712,51.60,94.143,52.679,0,646.196,1.000,0,0.00,2000.0,4213.8,3778.4,434.8,83.2,2410.4,266.9,8006.4
27,96,245.047,377.064,145.764,290414592,51.53,67.821,31.462,0,572.221,1.000,0,0.00,2000.0,4214.1,3779.3,434.2,83.2,2391.8,265.0,8005.9
28,96,209.102,314.298,128.365,247783424,51.69,51.001,29.736,0,497.204,1.000,0,0.00,2000.0,4213.1,3778.3,434.2,83.2,2401.4,272.9,8006.1
29,96,228.750,386.657,130.063,300711936,51.56,63.614,35.072,0,531.998,1.000,0,0.00,2000.0,4212.9,3778.2,434.2,83.2,2394.5,262.3,8006.1
30,96,187.291,250.323,117.671,197238784,51.97,45.170,24.450,0,516.156,1.000,0,0.00,2000.0,4213.7,3779.0,434.2,83.2,2385.8,253.7,8006.4
31,96,227.855,405.726,114.714,320770048,51.75,72.297,40.844,0,752.101,1.000,0,0.00,2000.0,4213.6,3778.9,434.2,83.2,2375.0,242.9,8006.6
32,96,197.398,314.761,113.744,240525312,51.92,53.499,30.155,0,641.056,1.000,0,0.00,2000.0,4213.3,3778.6,434.2,83.2,2379.0,244.2,8006.9
33,96,223.679,400.328,112.455,309948416,51.76,72.488,38.736,0,754.690,1.000,0,0.00,2000.0,4213.6,3778.8,434.2,83.2,2374.0,238.7,8006.9
34,96,191.349,285.787,113.904,208453632,52.07,50.930,26.515,0,597.125,1.000,0,0.00,2000.0,4214.4,3779.7,434.2,83.0,2368.0,232.7,8006.9
35,96,244.024,433.352,126.847,349540352,51.75,73.926,43.251,0,597.329,1.000,0,0.00,2000.0,4214.4,3779.6,434.2,83.0,2368.3,233.0,8006.9
36,96,219.968,377.073,116.511,301236224,51.64,65.313,38.144,0,709.776,1.000,0,0.00,2000.0,4213.0,3778.3,434.2,83.0,2361.7,225.4,8006.9
37,96,240.975,458.061,112.557,368680960,51.26,82.736,45.682,0,829.104,1.000,0,0.00,2000.0,4212.9,3778.2,434.2,83.0,2359.4,223.1,8007.1
38,96,216.956,339.459,122.884,272400384,51.29,58.897,35.175,0,643.904,1.000,0,0.00,2000.0,4214.3,3779.6,434.2,83.0,2352.3,216.0,8007.4
39,96,227.011,378.083,124.382,296022016,51.22,67.091,35.538,0,513.858,1.000,0,0.00,2000.0,4214.4,3779.6,434.2,83.0,2348.9,209.7,8007.6
40,96,211.879,254.371,140.104,194199552,51.56,49.120,22.655,0,502.468,1.000,0,0.00,2000.0,4214.0,3779.2,434.2,83.0,2344.3,204.9,8007.6
41,96,211.222,330.174,121.122,251150336,51.66,57.243,32.857,0,594.940,1.000,0,0.00,2000.0,4214.1,3779.4,434.2,83.0,2391.9,283.6,8007.1
42,96,235.162,431.308,114.414,349736960,51.39,77.742,43.005,0,804.655,1.000,0,0.00,2000.0,4213.4,3778.7,434.2,83.0,2374.4,266.1,8007.1
43,96,191.587,291.621,113.577,226467840,51.58,49.477,28.533,0,597.108,1.000,0,0.00,2000.0,4213.1,3778.3,434.2,83.0,2382.2,273.8,8007.1
44,96,192.180,286.394,113.290,228642816,51.76,49.274,29.616,0,617.458,1.000,0,0.00,2000.0,4214.2,3779.4,434.2,83.0,2374.5,266.1,8007.4
45,96,265.858,528.399,114.582,434540544,51.20,96.600,54.676,0,931.578,1.000,0,0.00,2000.0,4213.1,3778.3,434.2,83.0,2370.9,262.5,8007.9
46,96,166.125,195.211,113.393,143392768,51.68,33.901,18.832,0,512.532,1.000,0,0.00,2000.0,4213.7,3778.9,434.2,83.0,2372.4,264.0,8007.9
47,96,346.593,248.863,276.341,173813760,52.02,47.125,23.127,0,994.285,1.000,0,0.00,2000.0,4213.1,3778.3,434.2,83.0,2360.1,250.4,8008.9
48,96,250.682,419.112,140.776,327307264,51.85,70.045,39.861,0,580.446,1.000,0,0.00,2000.0,4214.3,3779.6,434.2,83.0,2361.2,251.5,8009.1
49,96,219.372,357.561,125.623,282161152,51.83,61.430,32.319,0,495.489,1.000,0,0.00,2000.0,4213.1,3778.4,434.2,83.0,2359.3,247.8,8009.1
50,96,222.637,349.253,133.214,256495616,51.90,60.022,29.400,0,527.883,1.000,0,0.00,2000.0,4214.0,3779.3,434.2,83.0,2349.6,208.7,8010.6
51,96,302.213,613.715,134.246,515637248,51.14,107.397,60.569,0,672.232,1.000,0,0.00,2000.0,4213.5,3778.8,434.2,83.0,2348.5,204.8,8010.6
52,96,231.283,403.874,118.752,324857856,51.01,71.293,41.238,0,778.224,1.000,0,0.00,2000.0,4213.4,3778.7,434.2,83.0,2348.7,205.1,8010.6
53,96,209.524,332.444,121.882,256233472,51.08,53.887,33.754,0,664.314,1.000,0,0.00,2000.0,4212.7,3779.3,432.8,83.0,2428.4,316.1,8010.4
54,96,296.879,614.818,117.380,502050816,50.42,116.051,63.447,0,1045.546,1.000,0,0.00,2000.0,4211.9,3778.6,432.8,83.0,2403.7,286.8,8010.4
55,96,213.007,329.445,123.642,259731456,50.49,56.124,33.241,0,673.422,1.000,0,0.00,2000.0,4211.4,3778.0,432.8,83.0,2389.5,268.9,8010.5
56,96,234.133,388.464,129.190,306581504,50.42,67.191,37.752,0,679.387,1.000,0,0.00,2000.0,4211.3,3778.0,432.8,83.0,2371.3,249.1,8010.8
57,96,214.547,331.464,125.885,268836864,50.47,56.082,32.580,0,507.812,1.000,0,0.00,2000.0,4211.3,3777.9,432.8,83.0,2375.1,252.8,8010.8
58,96,209.182,304.269,126.276,231616512,50.61,54.790,28.115,0,558.202,1.000,0,0.00,2000.0,4212.2,3778.9,432.8,83.0,2359.7,237.4,8010.8
59,96,204.361,328.050,115.727,241979392,50.73,58.344,30.290,0,679.067,1.000,0,0.00,2000.0,4212.3,3778.9,432.8,83.0,2365.2,242.9,8011.5
60,96,215.153,341.303,123.479,263819264,50.78,57.628,34.046,0,612.990,1.000,0,0.00,2000.0,4212.0,3778.6,432.8,83.0,2357.6,235.2,8011.5
61,96,233.850,380.624,137.903,298000384,50.74,60.857,35.090,0,554.411,1.000,0,0.00,2000.0,4212.5,3779.1,432.8,83.0,2356.6,234.2,8011.8
62,96,226.530,372.877,125.156,298262528,50.70,64.512,36.862,0,708.210,1.000,0,0.00,2000.0,4211.7,3778.3,432.8,83.0,2352.9,230.5,8011.8
63,96,239.182,386.528,135.515,304603136,50.64,66.049,37.618,0,576.624,1.000,0,0.00,2000.0,4211.8,3778.4,432.8,83.0,2348.5,223.9,8011.8
64,96,233.735,323.004,150.049,239005696,50.76,55.760,27.926,0,578.689,1.000,0,0.00,2000.0,4207.7,3778.5,428.7,83.2,2389.0,286.7,8012.4
65,96,173.399,201.282,117.280,146956288,51.10,38.554,17.565,0,512.537,1.000,0,0.00,2000.0,4208.0,3778.8,428.7,83.2,2388.6,286.3,8012.4
66,96,202.286,305.784,118.798,240787456,51.20,53.926,29.562,0,650.403,1.000,0,0.00,2000.0,4208.3,3779.1,428.7,83.2,2382.6,280.3,8012.4
