# bmoe_metrics v1
# model=Qwen_Qwen3.6-35B-A3B-Q4_0.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8 threads=4 n_ctx=2048
# moe_stream=0 cache_mb=0 cache_auto=0 cache_ceil_mb=0 force_cache=0 io_threads=0 o_direct=0 overlap=0 prefetch=0 dense_weights=anon drop_cold_frac=0 gpu=GPUOpenCL
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib
1,96,1433.553,0.000,1433.553,0,-1.00,0.000,0.000,0,785.972,-1.000,0,0.00,0.0,524.1,37.5,486.1,70.7,2627.8,365.0,7745.7
2,96,1322.310,0.000,1322.310,0,-1.00,0.000,0.000,0,792.704,-1.000,0,0.00,0.0,524.0,37.5,486.0,70.6,2670.4,404.8,7746.7
3,96,1124.932,0.000,1124.932,0,-1.00,0.000,0.000,0,675.399,-1.000,0,0.00,0.0,524.3,37.5,486.3,70.6,2669.5,403.3,7747.2
4,96,892.621,0.000,892.621,0,-1.00,0.000,0.000,0,534.930,-1.000,0,0.00,0.0,524.2,37.5,486.3,70.6,2668.0,402.2,7748.3
5,96,996.434,0.000,996.434,0,-1.00,0.000,0.000,0,682.268,-1.000,0,0.00,0.0,524.2,37.5,486.3,70.6,2659.6,387.7,7752.8
6,96,761.410,0.000,761.410,0,-1.00,0.000,0.000,0,472.737,-1.000,0,0.00,0.0,524.4,37.5,486.4,70.6,2657.6,382.7,7753.8
7,96,885.887,0.000,885.887,0,-1.00,0.000,0.000,0,562.980,-1.000,0,0.00,0.0,524.5,37.6,486.4,70.6,2655.8,372.1,7755.6
8,96,726.516,0.000,726.516,0,-1.00,0.000,0.000,0,454.676,-1.000,0,0.00,0.0,524.5,37.6,486.5,70.6,2654.6,366.4,7756.3
9,96,929.721,0.000,929.721,0,-1.00,0.000,0.000,0,569.903,-1.000,0,0.00,0.0,524.5,37.5,486.6,70.6,2645.2,287.0,7764.6
10,96,830.766,0.000,830.766,0,-1.00,0.000,0.000,0,526.359,-1.000,0,0.00,0.0,524.4,37.5,486.5,70.6,2645.5,277.4,7765.6
