layer,gpu_ms_per_token,cpu_ms_per_token,ratio
0,41.363,7.426,5.57
1,39.342,6.075,6.48
2,35.772,5.639,6.34
3,31.245,4.907,6.37
4,30.385,5.062,6.00
5,25.268,4.941,5.11
6,24.486,5.300,4.62
7,25.053,4.191,5.98
8,16.134,6.075,2.66
9,21.246,4.601,4.62
10,27.493,4.982,5.52
11,26.189,4.043,6.48
12,21.380,4.616,4.63
13,21.763,6.308,3.45
14,18.965,4.282,4.43
15,19.948,4.270,4.67
16,20.422,4.589,4.45
17,22.070,4.526,4.88
18,20.271,4.108,4.94
19,20.953,3.651,5.74
20,14.920,4.343,3.44
21,19.157,4.301,4.45
22,26.385,4.596,5.74
23,25.612,4.171,6.14
24,21.266,4.282,4.97
25,21.116,4.679,4.51
26,16.253,4.466,3.64
27,19.226,4.324,4.45
28,19.873,5.049,3.94
29,20.776,4.782,4.34
30,20.532,4.550,4.51
31,18.491,3.952,4.68
32,23.223,5.335,4.35
33,29.080,5.680,5.12
34,25.882,5.409,4.79
35,22.439,4.365,5.14
36,25.935,5.123,5.06
37,26.527,5.145,5.16
38,21.333,5.410,3.94
39,3.762,1.246,3.02
